Ontology 1 (https://w3id.org/fuskg/food),Relation,Ontology 2 (http://www.owl-ontologies.com/Ontology1435740495.owl)
https://w3id.org/fuskg/food#Beer,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Beer
https://w3id.org/fuskg/food#Manganese,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Manganese
https://w3id.org/fuskg/food#Selenium,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Selenium
https://w3id.org/fuskg/food#Copper,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Copper
https://w3id.org/fuskg/food#Iodine,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Iodine
https://w3id.org/fuskg/food#Glucose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Glucose
https://w3id.org/fuskg/food#Galactose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Galactose
https://w3id.org/fuskg/food#Sodium,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Sodium
https://w3id.org/fuskg/food#Lactose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Lactose
https://w3id.org/fuskg/food#Maltose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Maltose
https://w3id.org/fuskg/food#Calcium,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Calcium
https://w3id.org/fuskg/food#Fructose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Fructose
https://w3id.org/fuskg/food#Rice,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Rice
https://w3id.org/fuskg/food#Iron,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Iron
https://w3id.org/fuskg/food#Yogurt,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Yogurt
https://w3id.org/fuskg/food#Zinc,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Zinc
https://w3id.org/fuskg/food#Magnesium,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Magnesium
https://w3id.org/fuskg/food#Phosphorus,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Phosphorus
https://w3id.org/fuskg/food#Biotin,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Biotin
https://w3id.org/fuskg/food#Sucrose,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Sucrose
https://w3id.org/fuskg/food#Potassium,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Potassium
https://w3id.org/fuskg/food#Fruits,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Fruits
https://w3id.org/fuskg/food#Protein,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Protein
https://w3id.org/fuskg/food#MilkAndYogurt,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Milk_and_yogurt
https://w3id.org/fuskg/food#Vitamin,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin
https://w3id.org/fuskg/food#VitaminA,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_A
https://w3id.org/fuskg/food#VegetalOils,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vegetal_oils
https://w3id.org/fuskg/food#Wine,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Wine
https://w3id.org/fuskg/core#Food,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Food
https://w3id.org/fuskg/food#Pasta,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Pasta
https://w3id.org/fuskg/food#Eggs,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Eggs
https://w3id.org/fuskg/food#PantothenicAcid,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Pantothenic_acid
https://w3id.org/fuskg/food#Bread,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Bread
https://w3id.org/fuskg/food#Mushrooms,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Mushrooms
https://w3id.org/fuskg/food#Mineral,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Mineral
https://w3id.org/fuskg/food#VitaminB6,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_B6
https://w3id.org/fuskg/food#VitaminB12,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_B12
https://w3id.org/fuskg/food#VitaminC,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_C
https://w3id.org/fuskg/food#VitaminD,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_D
https://w3id.org/fuskg/food#VitaminE,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_E
https://w3id.org/fuskg/food#WaterBeverage,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Water
https://w3id.org/fuskg/food#VitaminB2,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_B2
https://w3id.org/fuskg/food#VitaminB1,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_B1
https://w3id.org/fuskg/food#AlcoholicBeverages,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Alcoholic_beverage
https://w3id.org/fuskg/food#Dessert,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Desserts
https://w3id.org/fuskg/food#Sausages,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Sausage
https://w3id.org/fuskg/food#Cheese,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Cheeses
https://w3id.org/fuskg/food#Niacin,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Vitamin_B
https://w3id.org/fuskg/food#Starch,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Starches
https://w3id.org/fuskg/core#Nutrient,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Nutrient_name
https://w3id.org/fuskg/food#SaturatedLipid,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Saturated
https://w3id.org/fuskg/food#Carbs,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Monosaccharides
https://w3id.org/fuskg/food#WhiteMeat,=,http://www.owl-ontologies.com/Ontology1435740495.owl#White
https://w3id.org/fuskg/food#ChocolateAndCocoa,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Chocolate
https://w3id.org/fuskg/food#Chlorine,=,http://www.owl-ontologies.com/Ontology1435740495.owl#Chloride
